id,subType,storageID,rarity,carryLimit,unk,sortOrder,flags,iconID,iconColor,carryItem,sellPrice,buyPrice,name,description
68,0,0,1,10,10,71,8,7,6,0,32,315,Drugged Meat,Raw meat that puts whatever eats it to sleep. Makes great bait for traps.
69,0,0,1,20,20,72,0,13,25,0,45,90,Gunpowder,A dangerous substance that explodes when struck or heated.
70,0,0,0,10,10,73,0,14,4,0,8,80,Small Barrel,"A small, empty barrel."
71,0,0,1,10,10,74,8,10,4,0,16,156,Barrel Bomb,A small time bomb.
72,0,0,1,5,5,75,8,10,6,0,18,150,Bounce Bomb,Launches into the air when set. This modified bomb requires skill to use.
73,0,0,3,5,5,76,72,10,6,0,68,680,Mega Bounce Bomb,An improved version of the bounce bomb. Requires some skill to use.
74,0,0,1,5,5,77,0,14,25,0,21,210,Large Barrel,"A large, empty barrel. Combine with gunpowder to make it into a bomb."
75,0,0,2,2,2,78,8,10,25,0,52,518,Large Barrel Bomb,A powerful bomb triggered by external physical impact.
76,0,0,3,2,2,79,72,10,25,0,80,800,Mega Barrel Bomb,An upgraded large barrel bomb. Effective against large monsters.
77,0,0,0,10,10,80,0,20,0,0,6,60,Spider Web,A very sticky web. Used to craft pitfall traps.
78,0,0,1,10,10,81,0,20,13,0,54,108,Net,A sturdy net that supports a certain amount of weight without breaking. Perfect for pitfall traps.
79,0,0,2,2,2,82,0,11,0,0,20,200,Trap Tool,A must-have item for putting together pitfall traps and other kinds of traps.
80,0,0,2,1,1,83,8,12,13,0,200,400,Pitfall Trap,A trap for catching certain large monsters. It is tripped by a heavy weight.
81,0,0,2,1,1,84,8,12,9,0,160,320,Shock Trap,A trap that immobilizes a target. Use it to capture monsters.
82,0,0,0,20,20,85,0,8,11,0,10,100,Rolled-up Dung,A ball of condensed monster dung. Used to make dung pods for your slinger.
83,0,0,0,10,10,86,0,8,11,0,1,10,Dung,Exudes a prodigious smell. Used to make ammo for your slinger called dung pods.
84,0,0,1,10,10,64,8,77,11,0,20,120,Dung Pod,Slinger ammo that releases a strong odor on impact. Causes certain monsters to flee.
85,0,0,1,10,10,87,8,29,2,0,15,150,Arowana Bait,A ball of bait favored by fish of the Arowana family.
86,0,0,1,10,10,88,8,29,10,0,15,150,Gunpowderfish Bait,A ball of bait favored by fish of the Gunpowderfish family.
87,0,0,1,10,10,89,8,29,4,0,30,300,Goldenfish Bait,A ball of bait favored by fish of the Goldenfish family.
88,0,0,3,5,5,90,8,30,4,0,15,150,Boomerang,An unusually-shaped weapon from abroad that returns to its user when thrown.
89,0,0,0,1,1,91,8,32,0,0,5,50,Binoculars,Allows you to see farther and observe from a distance.
90,0,0,4,1,1,92,0,13,1,0,3600,36000,Powercharm,An amulet that strengthens attacks. Just carrying this gives you demonic strength.
91,0,0,4,1,1,93,0,45,1,0,6840,68400,Powertalon,A charm that strengthens attacks. Its effects are amplified by the dragon parts it contains.
92,0,0,4,1,1,94,0,13,7,0,2400,24000,Armorcharm,An amulet that increases defense. Just carrying this hardens your skin like stone.
93,0,0,4,1,1,95,0,45,7,0,5040,50400,Armortalon,A charm that increases defense. Its effects are amplified by the dragon parts it contains.
94,0,0,0,99,99,96,0,16,13,0,1,22,Needleberry,A nut covered in needle-like spines. Used to make spread ammo.
95,0,0,0,30,30,97,0,16,7,0,4,40,Blastnut,A nut used to make sticky ammo.
96,0,0,1,5,5,98,0,16,11,0,12,60,Dragonstrike Nut,A nut that explodes on impact. Used to make wyvern ammo.
97,0,0,0,30,30,99,0,16,0,0,4,40,Slashberry,Used to make slicing ammo.
98,0,0,0,99,99,100,0,16,3,0,4,40,Latchberry,A nut that bears a spiral groove. Used to make pierce ammo.
99,0,0,1,10,10,101,0,16,14,0,12,60,Bomberry,A nut that ruptures on impact. Used to make cluster bombs.
100,0,0,1,80,80,102,0,21,10,0,12,60,Flamenut,Used to make gunpowder that increases ammo firepower.
101,0,0,1,60,60,103,0,21,10,0,12,60,Blazenut,Used to make gunpowder that greatly increases ammo firepower.
102,0,0,1,80,80,104,256,13,10,0,1,16,Gunpowder Level 2,Combustible powder. Combine with level 1 ammo to raise its level.
103,0,0,1,80,80,105,512,13,10,0,3,30,Gunpowder Level 3,Highly combustible powder. Combine with level 1 ammo to raise its level.
104,0,0,1,10,10,106,8,43,4,0,45,135,Whetfish Fin,"A fish fin used to sharpen weapons. Restores sharpness greatly, but good for fewer uses than a whetstone."
105,0,0,3,5,5,107,72,43,4,0,45,135,Whetfish Fin+,"A fish fin used to sharpen weapons. Works better than a whetstone, and can be reused if you're lucky."
106,0,0,1,10,10,108,12,43,7,0,45,90,Sushifish Scale,A scale from a Sushifish. Eat to restore a small amount of health. Also works to treat bleeding.
107,0,0,3,5,5,109,76,43,7,0,45,90,Great Sushifish Scale,"Scale from a Great Sushifish. Eat to get large health boost, a natural healing boost, and treat bleeding."
108,0,0,2,5,5,110,0,43,10,0,150,300,Gunpowderfish Scale,The scales of a Gunpowderfish. Combine with a large barrel bomb to dramatically increase its firepower.
109,0,0,3,5,5,111,64,43,10,0,150,300,Great Gunpowderfish Scale,The scales of a Great Gunpowderfish. Combine with a large barrel bomb to make a mega barrel bomb.
110,0,0,1,5,5,112,0,43,2,0,45,90,Burst Arowana Scale,The scales of a Burst Arowana. Combine with fire herb to make a large amount of level 2 gunpowder.
111,0,0,3,5,5,113,64,43,2,0,45,90,Great Burst Arowana Scale,The scales of a Great Burst Arowana. Combine with fire herb to make a vast amount of level 2 gunpowder.
112,0,0,1,5,5,114,0,43,5,0,135,270,Bomb Arowana Scale,The scales of a Bomb Arowana. Combine with fire herb to make a large amount of Lv3 gunpowder.
113,0,0,3,5,5,115,64,43,5,0,135,270,Great Bomb Arowana Scale,The scales of a Great Bomb Arowana. Combine with fire herb to make a vast amount of Lv3 gunpowder.
114,0,0,3,1,1,116,4137,6,4,0,0,0,Whetstone,A standard-sized whetstone. Use it to restore a weapon's sharpness.
115,0,0,3,1,1,117,4137,64,0,0,0,0,Capture Net,A net that can be fired from your slinger. Use it to capture small creatures.
116,0,0,3,1,1,118,4137,29,0,0,0,0,Fishing Rod,A tool used for fishing.
117,0,0,3,1,1,119,4137,34,1,0,0,0,BBQ Spit,Just what you need to cook meat. A must-have item for any hungry hunter.
118,0,0,3,1,1,120,4136,9,3,0,0,0,Ghillie Mantle,Conceal yourself from view temporarily. The effect ends if you perform an attack or take damage.
119,0,0,3,1,1,121,4136,9,0,0,0,0,Temporal Mantle,Nullify damage from powerful attacks by automatically evading.
120,0,0,3,1,1,122,4136,9,0,0,0,0,Health Booster,"Once spiked into the ground, it emits a healing cloud that gradually restores the health of anyone who stands in it."
121,0,0,3,1,1,123,4136,9,0,0,0,0,Rocksteady Mantle,"Stands firm against certain attacks, and gives you protection against wind pressure, roars, tremors. Also lessens damage."
122,0,0,3,1,1,124,4136,9,0,0,0,0,Challenger Mantle,"Attracts monsters to you, making it easier to lure them to a favorable position."
123,0,0,3,1,1,125,4136,9,0,0,0,0,Vitality Mantle,Nullifies a set amount of damage. The effect ends if more than that amount is taken.
124,0,0,3,1,1,126,4136,9,0,0,0,0,Fireproof Mantle,"Reduces fire element damage and nullifies fireblight, blastblight, and heat damage."
125,0,0,3,1,1,127,4136,9,0,0,0,0,Waterproof Mantle,"Reduces water element damage, nullifies waterblight and mud. Lets you wade through deep water easier."
126,0,0,3,1,1,128,4136,9,0,0,0,0,Iceproof Mantle,Reduces ice element damage and nullifies iceblight.
127,0,0,3,1,1,129,4136,9,0,0,0,0,Thunderproof Mantle,Reduces thunder element damage. Nullifies thunderblight and paralysis.
128,0,0,3,1,1,130,4136,9,0,0,0,0,Dragonproof Mantle,Reduces dragon element damage. Nullifies dragonblight while raising dragon element attack.
129,0,0,3,1,1,131,4136,9,0,0,0,0,Cleanser Booster,"Once spiked into the ground, it emits a healing cloud that cures any abnormal status of anyone who stands in it."
130,0,0,3,1,1,132,4136,9,0,0,0,0,Glider Mantle,"Extends air time when jumping, lets you ride on strong winds, and makes it easier to mount monsters."
131,0,0,3,1,1,133,4136,9,0,0,0,0,Evasion Mantle,Extends the invulnerability window of evasive actions. Dodge attacks at the last minute for an attack boost.
132,0,0,3,1,1,134,4136,9,0,0,0,0,Impact Mantle,"Adds a stun value to most attacks, and enhances the effect of attacks which cause stun."
133,0,0,3,1,1,135,4136,9,0,0,0,0,Apothecary Mantle,Increases the likelihood of weapons with abnormal status attacks to contribute to status buildup.
134,0,0,3,1,1,136,4136,9,0,0,0,0,Immunity Mantle,Clears all abnormal statuses and grants immunity from them for a limited amount of time.
135,0,0,3,1,1,137,4136,9,0,0,0,0,Affinity Booster,"Once spiked into the ground, it emits a cloud of mist that boosts affinity for you and surrounding teammates."
136,0,0,3,1,1,138,4136,9,0,0,0,0,Bandit Mantle,Makes attacks against large monsters drop rare and valuable trade-in items.
137,1,3,3,1,1,139,4257,17,0,0,0,0,Normal Ammo 1,"Ammo for novices. Gets the job done, but it doesn't pack much oomph."
138,1,3,1,99,99,140,256,17,0,0,1,3,Normal Ammo 2,Non-specialized ammo. More powerful than Normal Ammo 1. Capacity: 99
139,1,3,2,99,99,141,512,17,0,0,2,5,Normal Ammo 3,Ammo made with high-quality gunpowder. Each shot packs considerable punch. Capacity: 99
140,1,3,0,60,60,142,128,17,3,0,2,4,Pierce Ammo 1,Armor-piercing ammo that deals multiple hits to some monsters. Capacity: 60
141,1,3,1,60,60,143,256,17,3,0,2,8,Pierce Ammo 2,High-grade armor-piercing ammo. Deals more hits than Pierce Ammo 1. Capacity: 60
142,1,3,2,60,60,144,512,17,3,0,3,12,Pierce Ammo 3,Max-grade armor-piercing ammo. Deals numerous hits. Capacity: 60
143,1,3,0,80,80,145,128,17,13,0,1,4,Spread Ammo 1,Ammo that covers a wide area. Deals multiple hits at close range. Capacity: 80
144,1,3,1,70,70,146,256,17,13,0,2,8,Spread Ammo 2,High-grade ammo that covers a wide area. Deals more hits than Spread Ammo 1. Capacity: 70
145,1,3,2,60,60,147,512,17,13,0,2,12,Spread Ammo 3,Max-grade ammo that covers a wide area and deals numerous hits. Capacity: 60
146,1,3,0,9,9,148,128,17,7,0,2,12,Sticky Ammo 1,Powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
147,1,3,1,9,9,149,256,17,7,0,3,24,Sticky Ammo 2,Very powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
148,1,3,2,9,9,150,512,17,7,0,4,36,Sticky Ammo 3,Extremely powerful ammo that lodges in a target and explodes. Also stuns. Capacity: 9
149,1,3,1,3,3,151,128,17,14,0,6,30,Cluster Bomb 1,Ammo that fragments into three shells upon impact. Beware of friendly fire! Capacity: 3
150,1,3,2,3,3,152,256,17,14,0,6,60,Cluster Bomb 2,Ammo that fragments into four shells upon impact. Beware of friendly fire! Capacity: 3
151,1,3,3,3,3,153,512,17,14,0,10,90,Cluster Bomb 3,Ammo that fragments into five shells upon impact. Beware of friendly fire! Capacity: 3
152,1,3,1,60,60,154,0,17,25,0,2,20,Flaming Ammo,Ammo that packs a punch against monsters susceptible to fire. Capacity: 60
153,1,3,1,60,60,155,0,17,15,0,2,20,Water Ammo,Ammo that packs a punch against monsters susceptible to water. Capacity: 60
154,1,3,1,60,60,156,0,17,4,0,2,20,Thunder Ammo,Ammo that packs a punch against monsters susceptible to thunder. Capacity: 60
155,1,3,1,60,60,157,0,17,0,0,2,20,Freeze Ammo,Ammo that packs a punch against monsters susceptible to ice. Capacity: 60
156,1,3,2,3,3,158,0,17,14,0,10,100,Dragon Ammo,Elderseal-imbued ammo that packs a punch against monsters weak to dragon. Capacity: 3
157,1,3,1,12,12,159,128,17,5,0,2,15,Poison Ammo 1,"Poisons target, but may require several shots. Capacity: 12"
158,1,3,2,12,12,160,256,17,5,0,2,30,Poison Ammo 2,Enhanced ammo that inflicts poison. Some targets require multiple shots. Capacity: 12
159,1,3,1,12,12,161,128,17,9,0,3,15,Paralysis Ammo 1,Ammo that causes paralysis. Some targets require multiple shots. Capacity: 12
160,1,3,2,8,8,162,256,17,9,0,5,30,Paralysis Ammo 2,Enhanced ammo that causes paralysis. Some targets require multiple shots. Capacity: 8
161,1,3,1,12,12,163,128,17,6,0,2,15,Sleep Ammo 1,Ammo that induces sleep. Some targets require multiple shots. Capacity: 12
162,1,3,2,8,8,164,256,17,6,0,3,30,Sleep Ammo 2,Enhanced ammo that induces sleep. Some targets require multiple shots. Capacity: 8
163,1,3,1,12,12,165,128,17,15,0,3,15,Exhaust Ammo 1,Ammo that drains a monster's stamina. Capacity: 12
164,1,3,2,8,8,166,256,17,15,0,5,30,Exhaust Ammo 2,Enhanced ammo that drains a monster's stamina. Capacity: 8
165,1,3,1,12,12,167,128,17,2,0,2,8,Recover Ammo 1,Ammo that restores a small amount of health to an ally upon impact. Capacity: 12
166,1,3,2,12,12,168,256,17,2,0,2,15,Recover Ammo 2,Ammo that restores a moderate amount of health to an ally upon impact. Capacity: 12
167,1,3,2,5,5,169,0,17,11,0,6,62,Wyvern Ammo,Ammo created through years of research into Wyvern's Fire. Capacity: 5
168,1,3,1,30,30,170,0,17,0,0,3,12,Slicing Ammo,"Ammo that ejects sharp blades on impact, which can sever tails. Capacity: 30"
169,1,3,2,8,8,171,0,17,8,0,4,45,Tranq Ammo,Bowgun ammo used to capture monsters ensnared in traps. Capacity: 8
170,1,3,3,5,5,172,0,17,1,0,9,1,Demon Ammo,Ammo that fills the target with savage amounts of strength. Capacity: 5
171,1,3,3,5,5,173,0,17,7,0,7,1,Armor Ammo,Ammo that makes the target's skin as hard as stone. Capacity: 5
172,4,3,0,1,1,174,4096,18,10,0,0,0,(None),Program Data
173,4,3,3,1,1,175,4129,19,0,0,0,0,Close-range Coating,"Arrows designed to deal more damage to nearby targets, at the cost of a reduced maximum range."
174,0,0,0,100,99,176,0,18,0,0,1,5,Empty Phial,"A regular old empty phial. Nothing more, nothing less."
175,4,3,1,70,50,177,0,19,1,0,2,20,Power Coating,An arrow coating that increases the attack power of arrows. Capacity: 50
176,4,3,2,20,20,178,0,19,5,0,2,17,Poison Coating,An arrow coating that applies poison effects to arrows. Capacity: 20
177,4,3,2,30,20,179,0,19,9,0,3,26,Paralysis Coating,An arrow coating that applies paralysis effects to arrows. Capacity: 20
178,4,3,2,30,20,180,0,19,6,0,2,17,Sleep Coating,An arrow coating that induces sleep. Capacity: 20
179,4,3,2,20,20,181,4096,0,15,0,2,19,Exhaust Coating,An arrow coating that causes arrows to drain monsters' stamina. Capacity: 20
180,4,3,2,100,20,182,0,19,26,0,6,20,Blast Coating,An arrow coating that applies explosive powder to arrows. Capacity: 20
181,0,0,0,10,10,183,4106,5,2,0,0,1,First-aid Med,Restores a small amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
182,0,0,1,10,10,189,4170,5,2,0,0,1,First-aid Med+,Restores a moderate amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
183,0,0,0,10,10,190,4110,7,11,0,0,1,EZ Ration,Restores a small amount of stamina. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
184,0,0,1,3,3,191,4106,13,24,0,0,1,EZ Lifepowder,Produces a healing cloud around the area that heals anyone that comes in contact with it. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
185,0,0,1,2,2,192,4106,62,24,0,0,1,EZ Max Potion,Fully restores health and maximizes your Health Gauge. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
186,0,0,2,2,2,193,4170,10,25,0,0,1,EZ Large Barrel Bomb,A powered-up large barrel bomb. Just as powerful as a mega barrel bomb. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
187,0,0,2,1,1,194,4106,12,9,0,0,1,EZ Shock Trap,Immobilizes a target for easy capture. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
188,0,0,2,1,1,195,4106,12,13,0,0,1,EZ Pitfall Trap,Activates a pitfall to catch monsters with. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
189,0,0,3,3,3,196,4106,13,3,0,0,1,EZ Herbal Powder,Cures poison and restores a bit of health for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
190,0,0,3,3,3,197,4106,13,1,0,0,1,EZ Demon Powder,Temporarily strengthens attacks for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
191,0,0,3,3,3,198,4106,13,7,0,0,1,EZ Hardshell Powder,Temporarily increases defense strength for everyone nearby. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
192,0,0,1,10,10,201,4106,77,11,0,0,1,EZ Dung Pod,Releases a strong odor on impact. Causes certain monsters to flee. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
193,0,0,1,3,3,199,4106,77,4,0,0,1,EZ Flash Pod,Slinger ammo that flashes brightly on impact. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
194,0,0,1,3,3,200,4106,77,10,0,0,1,EZ Screamer Pod,Slinger ammo that emits an earsplitting sonic blast. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
195,0,0,0,10,10,202,4106,33,0,0,0,1,Throwing Knife,A knife that can be shot from your slinger. Can be coated with a range of chemicals. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
196,0,0,1,5,5,203,4106,33,5,0,0,1,Poison Knife,A knife coated with poison that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
197,0,0,1,5,5,204,4106,33,6,0,0,1,Sleep Knife,A knife coated with a sedative that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
198,0,0,1,5,5,205,4106,33,9,0,0,1,Paralysis Knife,A knife coated with a paralyzing toxin that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
199,0,0,2,8,8,206,4106,33,8,0,0,1,Tranq Knife,A knife coated with a tranquilizer that can be shot from your slinger. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
200,0,0,2,1,1,207,4106,24,2,0,0,1,EZ Farcaster,Call for a wingdrake to transport you to the nearest camp. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
201,0,0,2,8,8,208,4106,24,1,0,0,1,EZ Tranq Bomb,A hand grenade used to capture monsters ensnared in traps. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
202,1,3,3,10,10,209,4106,78,10,0,0,1,Ballista Ammo,Ammunition for the large Ballista. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
203,1,3,3,1,1,210,4106,78,7,0,0,1,One-shot Binder,"Ballista ammo that restrains targets. Disposable ammo, no cooldown. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>"
204,0,0,3,1,1,211,4098,79,10,1,0,0,Cannon Ammo,Steel ammo made for hunting giant dragons. A real pain to lug around. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>
205,0,1,3,99,10,212,0,22,10,0,60,600,Iron Ore,Ore that can be smelted into metal and used for many different purposes.
206,0,1,3,99,10,213,0,22,3,0,160,1600,Machalite Ore,Ore that's more difficult to procure than Iron Ore. Produces fine metal.
207,0,1,3,99,10,214,0,22,2,0,480,4800,Dragonite Ore,An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.
208,0,1,5,99,5,215,0,22,5,0,680,6800,Carbalite Ore,"Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal."
209,0,1,5,99,5,216,0,22,8,0,1020,10200,Fucium Ore,"Ore obtained from the Elder's Recess. A mysterious metal, capable of fusing nearly any two materials together."
